Sf Opportunity ID,Sf Opportunity Application Type C,Sf Opportunity Program Category,Sf Opportunity Program C
006360000077F6wAAE,Western Governors University,University,Teacher Licensure and Master's Degree Programs
006360000077F71AAE,Western Governors University,University,B.A. in Special Education (K-12)
006360000077GG8AAM,Bellevue University,University,B.B.A. in Advanced Manufacturing
006360000077NibAAE,Colorado State University-Global,University,BS - Business Management
006360000078DGxAAM,Bellevue University,University,Master's in Business Administration (MBA)
006360000078EPdAAM,Western Governors University,University,B.A. in Mathematics (5-9 or 5-12)
006360000078EUKAA2,Western Governors University,University,Teacher Licensure and Master's Degree Programs
006360000078EUZAA2,Western Governors University,University,Teacher Licensure and Master's Degree Programs
006360000078SyQAAU,Western Governors University,University,B.S. in Business Management
006360000078VqpAAE,Western Governors University,University,Teacher Licensure and Master's Degree Programs
006360000078VriAAE,Western Governors University,University,B.A. in Interdisciplinary Studies (K-8)
006360000078cyKAAQ,Guild Education,Credential,Management Training Program - 16 Week
006360000078fqZAAQ,Western Governors University,University,Master of Science in Cybersecurity
006360000078ueUAAQ,Colorado State University-Global,University,B.S. in Project Management
006360000078unfAAA,Colorado State University-Global,University,BS - Organizational Leadership
00636000007pnygAAA,Bellevue University,University,Master of Science in Accounting
00636000007ptdHAAQ,Guild Education,Credential,Management Training Program - 16 Week
00636000007pttuAAA,Guild Education,Credential,Management Training Program - 16 Week
00636000007quNuAAI,Colorado State University-Global,University,B.S. in Business Management
00636000007qvZLAAY,Bellevue University,University,Strategic Master of Business Administration Degree
00636000008C3XuAAK,Colorado State University-Global,University,B.S. in Accounting
00636000008C3pPAAS,Guild Education,Credential,Management Training Program - 16 Week
00636000008C4EJAA0,Colorado State University-Global,University,M.A. Teaching & Learning - Teaching Licensure Math
00636000008CSlFAAW,Bellevue University,University,Master of Science in Cybersecurity
00636000008Ctd7AAC,Guild Education,Credential,Management Training Program - 16 Week
00636000008CvsBAAS,Guild Education,Credential,Management Training Program - 16 Week
00636000008D3tqAAC,Colorado State University-Global,University,B.S. in Business Management
00636000008fPIBAA2,Guild Education,Credential,Management Training Program - 16 Week
00636000008r6j2AAA,Guild Education,Lead Gen - Post Secondary,16-week Management Bootcamp
00636000008u9ulAAA,StraighterLine,StraighterLine/Saylor,English Composition I
00636000008uHHOAA2,StraighterLine,StraighterLine/Saylor,English Composition I
00636000008uNhjAAE,StraighterLine,StraighterLine/Saylor,English Composition I
00636000009O8dEAAS,Western Governors University,University,Leadership and Communication
00636000009O8iIAAS,Western Governors University,University,Leadership and Communication
00636000009O8jVAAS,Western Governors University,University,Leadership and Communication
00636000009O8juAAC,Western Governors University,University,Leadership and Communication
00636000009O8kTAAS,Western Governors University,University,Leadership and Communication
00636000009O9BXAA0,Guild Education,Lead Gen - Post Secondary,16-week Management Bootcamp
00636000009O9BhAAK,Colorado State University-Global,University,B.S. in Business Management
00636000009OFdnAAG,Colorado State University-Global,University,B.S. in Business Management
00636000009OPjGAAW,Guild Education,Credential,Management Training Program - 16 Week
00636000009ORDjAAO,Colorado State University-Global,University,B.S. in Business Management
00636000009PwnyAAC,Colorado State University-Global,University,B.S. in Business Management
00636000009Q7OdAAK,Colorado State University-Global,University,B.S. in Marketing
00636000009QOkMAAW,Colorado State University-Global,University,B.S. in Communication
00636000009QRQ0AAO,Colorado State University-Global,University,B.S. in Marketing
00636000009QWvHAAW,Colorado State University-Global,University,B.S. in Business Management
00636000009RtpDAAS,Colorado State University-Global,University,B.S. in Business Management
00636000009RttjAAC,Colorado State University-Global,University,B.S. in Project Management
0063600000A0qkwAAB,Colorado State University-Global,University,B.S. in Business Management
0063600000A0qm9AAB,Colorado State University-Global,University,B.S. in Criminal Justice and Law Enforcement Administration
0063600000A0vauAAB,Colorado State University-Global,University,B.S. in Business Management
0063600000A0vg2AAB,Colorado State University-Global,University,Principles of Marketing
0063600000A1C5iAAF,Colorado State University-Global,University,B.S. in Business Management
0063600000A1CQHAA3,Colorado State University-Global,University,B.S. in Healthcare Administration and Management
0063600000A1TsOAAV,Colorado State University-Global,University,B.S. in Information Technology
0063600000A1kaXAAR,Colorado State University-Global,University,B.S. in Information Technology
0063600000A29sMAAR,Colorado State University-Global,University,B.S. in Business Management
0063600000A2MPLAA3,Colorado State University-Global,University,B.S. in Business Management
0063600000A2pDTAAZ,Colorado State University-Global,University,B.S. in Marketing
0063600000A2rdXAAR,Colorado State University-Global,University,B.S. in Business Management
0063600000A34IRAAZ,Guild Education,Credential,Management Training Program - 16 Week
0063600000A9eznAAB,Colorado State University-Global,University,B.S. in Information Technology
0063600000A9h7XAAR,Colorado State University-Global,University,B.S. in Criminal Justice and Law Enforcement Administration
0063600000A9hCrAAJ,Guild Education,Credential,Management Training Program - 8 Week
0063600000A9hfuAAB,Western Governors University,University,B.A. in Special Education (K-12)
0063600000A9xaOAAR,Western Governors University,University,B.A. in Interdisciplinary Studies (K-8)
0063600000A9xsXAAR,Colorado State University-Global,University,B.S. in Business Management
0063600000A9xwJAAR,Colorado State University-Global,University,B.S. in Marketing
0063600000A9xwYAAR,Western Governors University,University,B.A. in Interdisciplinary Studies (K-8)
0063600000A9xwdAAB,Saylor,StraighterLine/Saylor,Principles of Marketing
0063600000A9yFXAAZ,Western Governors University,University,B.A. in Interdisciplinary Studies (K-8)
0063600000A9yG1AAJ,Western Governors University,University,B.A. in Special Education (K-12)
0063600000A9yGzAAJ,Western Governors University,University,B.A. in Special Education (K-12)
0063600000A9yUiAAJ,Western Governors University,University,B.A. in Mathematics (5-9 or 5-12)
0063600000A9yV7AAJ,Western Governors University,University,B.A. in Interdisciplinary Studies (K-8)
0063600000A9yiZAAR,Western Governors University,University,B.A. in Interdisciplinary Studies (K-8)
0063600000A9z9YAAR,Western Governors University,University,B.A. in Special Education (K-12)
0063600000A9zBTAAZ,Western Governors University,University,B.A. in Interdisciplinary Studies (K-8)
0063600000A9zC9AAJ,Western Governors University,University,B.A. in Interdisciplinary Studies (K-8)
0063600000A9zDgAAJ,Western Governors University,University,B.A. in Interdisciplinary Studies (K-8)
0063600000A9zEZAAZ,Western Governors University,University,B.A. in Interdisciplinary Studies (K-8)
0063600000AA82oAAD,Guild Education,Credential,Management Training Program - 16 Week
0063600000AA83cAAD,Western Governors University,University,B.A. in Interdisciplinary Studies (K-8)
0063600000AA84kAAD,Western Governors University,University,B.A. in Special Education (K-12)
0063600000AA85EAAT,Western Governors University,University,B.A. in Special Education (K-12)
0063600000AA85sAAD,Western Governors University,University,B.A. in Interdisciplinary Studies (K-8)
0063600000AA86WAAT,Colorado State University-Global,University,B.S. in Marketing
0063600000AA87KAAT,Colorado State University-Global,University,B.S. in Accounting
0063600000AABH4AAP,Colorado State University-Global,University,B.S. in Criminal Justice and Law Enforcement Administration
0063600000AABKXAA5,Colorado State University-Global,University,B.S. in Organizational Leadership
0063600000AABUcAAP,Colorado State University-Global,University,B.S. in Business Management
0063600000AABxyAAH,Guild Education,Lead Gen - Post Secondary,TOEFL Strategy Class
0063600000AADAYAA5,Colorado State University-Global,University,B.S. in Business Management
0063600000AAKEiAAP,Colorado State University-Global,University,B.S. in Business Management
0063600000AAKF2AAP,Colorado State University-Global,University,B.S. in Marketing
0063600000AAKF7AAP,Colorado State University-Global,University,B.S. in Business Management
0063600000AAKFHAA5,Colorado State University-Global,University,B.S. in Business Management
0063600000AAKGWAA5,Guild Education,Credential,Management Training Program - 16 Week
0063600000AAKKGAA5,Colorado State University-Global,University,B.S. in Business Management
0063600000AAKWTAA5,Colorado State University-Global,University,B.S. in Management Information Systems and Business Analytics
0063600000AAMRzAAP,Guild Education,Credential,Management Training Program - 8 Week
0063600000AAMSEAA5,Guild Education,Credential,Management Training Program - 16 Week
0063600000AAMSdAAP,Guild Education,Credential,Management Training Program - 16 Week
0063600000AAMSxAAP,Guild Education,Lead Gen - Post Secondary,Transition to College 101 for English Language Learners
0063600000AAR5mAAH,Guild Education,Credential,Management Training Program - 16 Week
0063600000AARBhAAP,Colorado State University-Global,University,B.S. in Business Management
0063600000AAXD5AAP,Colorado State University-Global,University,B.S. in Business Management
0063600000AAXEXAA5,Colorado State University-Global,University,B.S. in Business Management
0063600000AAYYlAAP,Colorado State University-Global,University,B.S. in Marketing
0063600000AAYZyAAP,Guild Education,Credential,Management Training Program - 16 Week
0063600000AAYaDAAX,Colorado State University-Global,University,B.S. in Information Technology
0063600000AAYahAAH,StraighterLine,StraighterLine/Saylor,English Composition I
0063600000AAYgQAAX,Colorado State University-Global,University,B.S. in Business Management
0063600000AAYgzAAH,Colorado State University-Global,University,B.S. in Business Management
0063600000AAYjeAAH,StraighterLine,StraighterLine/Saylor,English Composition I
0063600000AAYjyAAH,Colorado State University-Global,University,B.S. in Applied Social Sciences
0063600000AAZ1pAAH,Guild Education,Lead Gen - Secondary,High School Equivalency Program (GED Prep)
0063600000AAZ5mAAH,Colorado State University-Global,University,B.S. in Accounting
0063600000AAZX3AAP,Colorado State University-Global,University,B.S. in Organizational Leadership
0063600000AAZmBAAX,Colorado State University-Global,University,B.S. in Business Management
0063600000AAZmfAAH,Guild Education,Lead Gen - Post Secondary,16-week Management Bootcamp
0063600000AAa53AAD,Colorado State University-Global,University,B.S. in Business Management
0063600000AAaFXAA1,Colorado State University-Global,University,B.S. in Business Management
0063600000AAaoZAAT,Colorado State University-Global,University,B.S. in Marketing
0063600000AAapyAAD,Colorado State University-Global,University,B.S. in Accounting
0063600000AAaqSAAT,Saylor,StraighterLine/Saylor,Principles of Marketing
0063600000AAi6TAAT,Colorado State University-Global,University,B.S. in Business Management
0063600000AAi6xAAD,Colorado State University-Global,University,B.S. in Business Management
0063600000AAiGdAAL,Colorado State University-Global,University,B.S. in Organizational Leadership
0063600000AAizjAAD,Guild Education,Credential,Management Training Program - 16 Week
0063600000AAj0IAAT,Colorado State University-Global,University,B.S. in Organizational Leadership
0063600000AAj9tAAD,Colorado State University-Global,University,B.S. in Business Management
0063600000AAjKDAA1,Guild Education,Lead Gen - Secondary,High School Equivalency Program (GED Prep)
0063600000AAjiVAAT,Colorado State University-Global,University,B.S. in Business Management
0063600000AAkcAAAT,Guild Education,Credential,Management Training Program - 16 Week
0063600000AAkhvAAD,Colorado State University-Global,University,B.S. in Accounting
0063600000AAkjDAAT,Bellevue University,University,Master of Science in Human Resources Strategic Management
0063600000AAkjXAAT,Colorado State University-Global,University,B.S. in Healthcare Administration and Management
0063600000AAklsAAD,Colorado State University-Global,University,B.S. in Business Management
0063600000AAlD8AAL,Colorado State University-Global,University,B.S. in Organizational Leadership
0063600000AAlF3AAL,Colorado State University-Global,University,B.S. in Business Management
0063600000AAlLCAA1,Colorado State University-Global,University,B.S. in Human Resources Management
0063600000AAmjNAAT,Colorado State University-Global,University,B.S. in Business Management
0063600000AAvPFAA1,Western Governors University,University,B.A. in Interdisciplinary Studies (K-8)
0063600000AAvVXAA1,Colorado State University-Global,University,B.S. in Business Management
0063600000AAwL1AAL,Colorado State University-Global,University,B.S. in Business Management
0063600000AAxGZAA1,Colorado State University-Global,University,B.S. in Business Management
0063600000AAxdDAAT,Bellevue University,University,B.S. in Marketing
0063600000AAyi1AAD,Guild Education,Credential,Management Training Program - 16 Week
0063600000AAzskAAD,Colorado State University-Global,University,B.S. in Applied Social Sciences
0063600000AB0fFAAT,Colorado State University-Global,University,B.S. in Marketing
0063600000AB1fjAAD,Bellevue University,University,B.S. in Business
0063600000AB2OEAA1,Colorado State University-Global,University,B.S. in Business Management
0063600000AB7iEAAT,StraighterLine,StraighterLine/Saylor,Intro to Communication
0063600000AB7kKAAT,Colorado State University-Global,University,B.S. in Business Management
0063600000ABAKJAA5,Colorado State University-Global,University,Bachelor of Science in Healthcare Administration and Management
0063600000ABAmtAAH,Colorado State University-Global,University,B.S. in Business Management
0063600000ABCW1AAP,Colorado State University-Global,University,B.S. in Business Management
0063600000ABEezAAH,Colorado State University-Global,University,B.S. in Business Management
0063600000ABF9OAAX,Colorado State University-Global,University,B.S. in Organizational Leadership
0063600000ABGD2AAP,Colorado State University-Global,University,B.S. in Accounting
0063600000ABGj2AAH,StraighterLine,StraighterLine/Saylor,Intro to Communication
0063600000ABI3AAAX,Colorado State University-Global,University,B.S. in Accounting
0063600000ABIFjAAP,Colorado State University-Global,University,B.S. in Business Management
0063600000ABIc4AAH,Colorado State University-Global,University,B.S. in Business Management
0063600000ABPjvAAH,Saylor,StraighterLine/Saylor,Introduction to Business
0063600000ABQ0mAAH,Bellevue University,University,B.S. in Digital Marketing
0063600000ABT8GAAX,Colorado State University-Global,University,B.S. in Business Management
0063600000ABYVLAA5,Colorado State University-Global,University,B.S. in Business Management
0063600000ABdtCAAT,StraighterLine,StraighterLine/Saylor,English Composition I
0063600000ABdu0AAD,Colorado State University-Global,University,B.S. in Business Management
0063600000ABe1eAAD,Guild Education,Lead Gen - Post Secondary,16-week Management Bootcamp
0063600000ABjauAAD,Colorado State University-Global,University,B.S. in Information Technology
0063600000ABjtCAAT,Colorado State University-Global,University,B.S. in Accounting
0063600000ABjzKAAT,Colorado State University-Global,University,B.S. in Business Management
0063600000ABs5OAAT,Colorado State University-Global,University,B.S. in Business Management
0063600000ABsNmAAL,Guild Education,Credential,Management Training Program - 16 Week
0063600000ABsabAAD,Colorado State University-Global,University,B.S. in Organizational Leadership
0063600000ABsbAAAT,Colorado State University-Global,University,B.S. in Business Management
0063600000ABsc8AAD,Colorado State University-Global,University,B.S. in Marketing
0063600000ABscrAAD,Western Governors University,University,Interdisciplinary Studies
0063600000ABtB4AAL,Colorado State University-Global,University,B.S. in Business Management
0063600000ABtDsAAL,Guild Education,Lead Gen - Post Secondary,16-week Management Bootcamp
0063600000ABtGDAA1,Bellevue University,University,Master of Science in Accounting
0063600000ABtKKAA1,Guild Education,Credential,Management Training Program - 16 Week
0063600000ABtPFAA1,Guild Education,Credential,Management Training Program - 16 Week
0063600000ABtfWAAT,Western Governors University,University,Master of Science in Cybersecurity
0063600000ABtgZAAT,Guild Education,Credential,Management Training Program - 16 Week
0063600000ABthSAAT,Guild Education,Credential,Management Training Program - 16 Week
0063600000ABtkRAAT,Guild Education,Credential,Management Training Program - 16 Week
0063600000ABtlUAAT,Colorado State University-Global,University,B.S. in Communication
0063600000ABtm8AAD,Western Governors University,University,B.A. in Interdisciplinary Studies (K-8)
0063600000ABtpMAAT,Guild Education,Credential,Management Training Program - 16 Week
0063600000ABtskAAD,Colorado State University-Global,University,B.S. in Criminal Justice and Law Enforcement Administration
0063600000ACI0GAAX,Saylor,StraighterLine/Saylor,Introduction to Business
0063600000ACI29AAH,StraighterLine,StraighterLine/Saylor,English Composition I
0063600000AQYzKAAX,Colorado State University-Global,University,B.S. in Organizational Leadership
0063600000ARQeGAAX,Colorado State University-Global,University,B.S. in Information Technology
0063600000ARaoxAAD,Colorado State University-Global,University,B.S. in Healthcare Administration and Management
0063600000ASVJHAA5,Colorado State University-Global,University,B.S. in Human Services
0063600000ASkBWAA1,Colorado State University-Global,University,B.S. in Applied Social Sciences
0063600000ASkenAAD,Guild Education,Lead Gen - Post Secondary,16-week Management Bootcamp
0063600000ASz0yAAD,Bellevue University,University,B.S. in Business
0063600000ASzBqAAL,Colorado State University-Global,University,B.S. in Business Management
0063600000ASzIrAAL,Guild Education,Credential,Management Training Program - 16 Week
0063600000AfFgQAAV,Guild Education,Credential,Management Training Program - 16 Week
0063600000AfGLYAA3,Guild Education,Credential,Management Training Program - 16 Week
0063600000AfO38AAF,Colorado State University-Global,University,B.S. in Project Management
0063600000AfO6CAAV,Guild Education,Credential,Management Training Program - 16 Week
0063600000AfOsZAAV,Guild Education,Credential,Management Training Program - 16 Week
0063600000AfOyNAAV,Guild Education,Credential,Management Training Program - 16 Week
0063600000AfOzLAAV,Colorado State University-Global,University,B.S. in Management Information Systems and Business Analytics
0063600000AfPKpAAN,Guild Education,Lead Gen - Post Secondary,Transition to College 101
0063600000AfPLdAAN,Guild Education,Credential,Management Training Program - 16 Week
0063600000AfQ2SAAV,Colorado State University-Global,University,B.S. in Business Management
0063600000AfXM4AAN,Guild Education,Credential,Management Training Program - 16 Week
0063600000AfXbxAAF,Guild Education,Credential,Management Training Program - 16 Week
0063600000AfYubAAF,Colorado State University-Global,University,B.S. in Organizational Leadership
0063600000AfZhJAAV,Guild Education,Credential,Management Training Program - 16 Week
0063600000AfZivAAF,Colorado State University-Global,University,B.S. in Criminal Justice and Law Enforcement Administration
0063600000AfZpSAAV,Bellevue University,University,Bachelor of Science in Cybersecurity
0063600000B96CIAAZ,Colorado State University-Global,University,B.S. in Business Management
0063600000B96ggAAB,Colorado State University-Global,University,B.S. in Organizational Leadership
0063600000B96ncAAB,Guild Education,Credential,16-week Management Training Program
0063600000B96qgAAB,Colorado State University-Global,University,B.S. in Marketing
0063600000B96vYAAR,Guild Education,Credential,Management Training Program - 16 Week
0063600000B96zBAAR,Guild Education,Credential,Management Training Program - 16 Week
0063600000B991NAAR,Colorado State University-Global,University,B.S. in Marketing
0063600000B9CrkAAF,Colorado State University-Global,University,B.S. in Business Management
0063600000B9DXgAAN,Guild Education,Lead Gen - Post Secondary,Transition to College - for Second Language Learners
0063600000B9DecAAF,Colorado State University-Global,University,B.S. in Organizational Leadership
0063600000B9DszAAF,Colorado State University-Global,University,B.S. in Applied Social Sciences
0063600000B9DveAAF,Bellevue University,University,Bachelor of Science in Marketing
0063600000B9DxqAAF,Guild Education,Lead Gen - Post Secondary,Transition to College 101
0063600000B9E01AAF,Guild Education,Credential,8-week Management Training Program
0063600000B9E9XAAV,Colorado State University-Global,University,B.S. in Healthcare Administration and Management
0063600000B9MdTAAV,Guild Education,Lead Gen - Post Secondary,Transition to College 101
0063600000B9N3gAAF,Guild Education,Credential,Management Training Program - 16 Week
0063600000B9NTPAA3,Bellevue University,University,B.S. in Business
0063600000B9ODtAAN,Saylor,StraighterLine/Saylor,Intro to Statistics
0063600000B9PLVAA3,Guild Education,Credential,Management Training Program - 16 Week
0063600000B9PLaAAN,Guild Education,Lead Gen - Post Secondary,Transition to College 101
0063600000B9PM9AAN,Guild Education,Credential,Management Training Program - 16 Week
0063600000B9PMJAA3,Guild Education,Lead Gen - Post Secondary,Transition to College 101
0063600000B9PfFAAV,Guild Education,Credential,Management Training Program - 16 Week
0063600000B9PkWAAV,Guild Education,Lead Gen - Post Secondary,Transition to College 101
0063600000B9Q0jAAF,Guild Education,Lead Gen - Post Secondary,Transition to College 101 for Second Language Learners
0063600000B9Q2kAAF,Guild Education,Lead Gen - Post Secondary,Transition to College 102 for English Language Learners
0063600000B9X9TAAV,Colorado State University-Global,University,B.S. in Business Management
0063600000B9X9nAAF,Guild Education,Credential,Management Training Program - 16 Week
0063600000B9XozAAF,Guild Education,Lead Gen - Post Secondary,Transition to College 101 for English Language Learners
0063600000B9XrAAAV,Guild Education,Lead Gen - Post Secondary,Transition to College 102 for English Language Learners
